year,EF2001D1.Grand total,Enrollment Annual Rate of Change
2001,17965501.0,0.0
2002,18774604.0,4.503648409248373
2003,19385482.0,3.253746390602963
2004,19493543.0,0.5574326189052181
2005,19792638.0,1.534328572286725
2006,19957444.0,0.8326631346463165
2007,20240347.0,1.4175312229361525
2008,20714313.0,2.341689102464506
2009,21913240.0,5.787915824193646
2010,23155497.0,5.668979119472972
2011,23766408.0,2.6382979384981464
2012,23767003.0,0.00250353355879529
2013,23436250.0,-1.3916479078157185
2014,23508832.0,0.30969971731826806
2015,23315905.0,-0.8206575299019581
2016,23149016.0,-0.7157732028844732
2017,22916483.0,-1.0045048999059003
